id,title,time,director,year,star1,star2,star3,star4,star5,star6,tomatome_rating,audience_rating,review1,review2,review3,review4,review5
1385,Hunky Dory,1 hr. 49 min.,Marc Evans,2013,Minnie Driver,Aneurin Barnard,Danielle Branch,Robert Pugh,Haydn Gwynne,Adam Byard,56,45,"Golden-hued, feel-good treacle, the sort that the U.K. has tried to export ever since Billy Elliot.",The golden-hued cinematography (a filming cliché that really needs to be retired) and the sometimes slack direction by Marc Evans are minuses ...,"At various moments this endearing but sudsy movie, which spills all over the place, evokes ""High School Musical,"" ""Glee"" and ""Billy Elliot.""",Hunky Dory flits along blithely from number to transporting musical number until it ends - with a sigh - and dodges any authentic engagement with its own ideas.,"Enthusiasm carries the day in this paint-by-numbers period tale, which is just charming enough to coast on its own clichés."
1386,The Place Beyond The Pines,2 hr. 21 min.,Derek Cianfrance,2013,Bradley Cooper,Ryan Gosling,Eva Mendes,Rose Byrne,Ray Liotta,Ben Mendelsohn,80,75,"What Cianfrance has written has scraps of surprise and a fine chase sequence, but it doesn't reach for the stars or the emotional cosmos -- or, at least, it doesn't know how to get there.",Derek Cianfrance could probably be a great filmmaker if he wasn't trying so hard to be a Great Filmmaker,"Utterly compelling with a magic wand of storytelling from writer/director Derek Cianfrance along with co-writers Ben Coccio and Darius Marber, The Place Beyond the Pines is one of the more natural and stylistic endeavors of 2013.",The Place Beyond the Pines isn't a bad movie; it's three bad movies strung together by implausible logic.,A jumbled triptych that frequently meanders without finding its center.
1387,Graceland,1 hr. 24 min.,Ron Morales,2013,Arnold Reyes,Menggie Cobarrubias,Dido Dela Paz,Dido De La Paz,Leon Miguel,Ella Guevarra,84,71,Graceland ... has a ruthlessness rarely attempted by its North American counterparts.,"The film feels increasingly exploitative as it becomes more overtly political, illustrating various forms of injustice with blunt, sensationalistic imagery.",A potent combo of hostage thriller and high-impact morality play.,"The social and economic pitfalls facing the vast urban underclass of Manila's sprawling metropolitan area are depicted with unflinching regard in Ron Morales' observant low-budget Filipino feature, a blend of ruthless crime drama and grim thriller.","A tense, twisty cinematic artichoke brimming with moral complexity and intriguing shades of gray."
1388,Cost of a Soul,1 hr. 30 min.,Sean Kirkpatrick,2011,Christopher Kerson,William Blagrove,Will Blagrove,Judy Jerome,Mark Borkowski,Gregg Almquist,27,55,Technically accomplished but dramatically unconvincing.,"Kirkpatrick keeps stomping on the drama pedal while blowing the cliché horn, yielding scene after tired scene of predictable developments as the principals keep shoving guns into mouths and screaming obscenities.",This low-budget drama has a gutsy handle on what makes a crime drama crackle.,"As one bloody encounter treads on the heels of the next, all that remains is a tiny indie undone by its own vicious ambitions.","It's a lousy movie, but it has spunk."
1389,The Silence,2 hr.,Baran bo Odar,2013,Ulrich Thomsen,Wotan Wilke Möhring,Burghart Klau??ner,Katrin Sass,Sebastian Blomberg,Claudia Michelsen,87,72,"Twisted, sad and undeniably disturbing, ""The Silence"" is a study in the sick ways of men.",This is film noir at its noirest.,"A story of obsession, of the permanence of loss, of how deeds of the past haunt us, closing over our heads like water. It leaves you shivering, yet thrilled; waiting anxiously for this talented new filmmaker's next work.","""The Silence"" is framed as a multi-character police procedural, but like ""Mystic River"" and ""Zodiac,"" its inquiries probe deeper and darker.",Its measured pacing whispers art while its lurid subject matter screams commerce.
1390,Nocni brodovi (Night Boats),1 hr. 28 min.,Igor Mirkovic,2012,Ana Karic,Anna Karic,Bogdan Diklic,Lana Baric,Renata Ulmaski,Radko Polic,0,75,,,,,
1391,Kiss Of The Damned,1 hr. 37 min.,Xan Cassavetes,2013,Josephine de la Baum...,Milo Ventimiglia,Roxane Mesquida,Anna Mouglalis,Michael Rapaport,Riley Keough,58,38,"""Kiss of the Damned"" is rather a hoot.","An ambitious, if deeply flawed, vampire love story ...","The confident, female-driven sensuality of ""Kiss of the Damned"" anchors this handsome nonsense.","Cassavetes can film an erotic encounter worthy of the 1970s and the golden age of sex scenes, and that is no small compliment these days.","""Kiss of the Damned"" tries to give the vampire movie something it most definitely does not need: class."
1392,Arcadia,1 hr. 31 min.,Olivia Silver,2012,John Hawkes,Ryan Simpkins,Kendall Toole,Ty Simpkins,Julia Campbell,Tawny Fere,60,43,"The ever-reliable Hawkes does what he can with the material, but his part is too thinly written to convince.","The characters overall lack definition, and the writer-director is only moderately successful at accessing the pathos of a story that should be steeped in it.","Ms. Silver's ability to translate the liminal into cinematic terms, to catch those moments between innocence and knowing, childhood and adulthood, unforgiving and forgiving, makes her someone to watch.",Hits the mark as an emotionally authentic coming-of-age drama.,"The story is too slight to go the full distance of 3,000 miles cross-country without this viewer losing some interest."
1393,The Wedding Chapel,1 hr. 32 min.,Vanessa Parise,2013,Emmanuelle Vaugier,Mark Deklin,Shelley Long,Barclay Hope,Malcolm Stewart,,0,13,,,,,
1394,Love And Honor,1 hr. 32 min.,Danny Mooney,2013,Liam Hemsworth,Austin Stowell,Teresa Palmer,Aimee Teegarden,Chris Lowell,Wyatt Russell,13,39,"""Love and Honor"" suffices as old-fashioned, pie-in-the-sky entertainment.","""Love and Honor'' may be politically clueless, but Hemsworth and the student journalist he hooks up with (fellow Aussie Teresa Palmer of ""Warm Bodies'') do make an undeniably attractive couple.",This trifle about two soldiers who sneak away to America while on leave unfolds in a world about as realistic as a flashback on a sitcom.,"Hemsworth has presence, but he also represents this film's biggest problem: It feels like a bunch of good-looking kids putting on a show.",Everybody learns something about the illusion of love and the power of honor. It's hard to believe it wasn't written by Nicholas Sparks.
1395,Pieta,1 hr. 44 min.,Kim Ki-Duk,2013,Lee Jungjin,Cho Min-soo,Jo Min-soo,Eunjin Kang,Jae-rok Kim,Jin Yong-Ok,75,72,"There is a touch too much of the handheld camera, but in general one senses that the very quality of the way this film was made is one of its justifications for being and for its raw moments.","After being subjected to disturbing scenes of abject cruelty, rape and torture, my reactions shifted from squeamish revulsion to a reluctant yet growing appreciation for Kim's thematic ambition.","The film's big reveal may not come as that much of a surprise; you may figure out where it's going well before the end. But it's the getting there that is, if not exactly fun, then certainly hypnotic.","Fascination returns at the stirring climax, when the plot neatly twists and the film's apparently simple message turns deeper, and blacker.","A vicious, torture-happy debt collector with some severe sexual peccadilloes is, erm, softened by the return of his estranged mother in Kim Ki-duk's deeply unsettling Pieta."
1396,Ginger & Rosa,1 hr. 29 min.,Sally Potter,2013,Elle Fanning,Alessandro Nivola,Christina Hendricks,Alice Englert,Jodhi May,Annette Bening,80,50,"Coming from anyone else, Ginger & Rosa would be a sensitive if predictable coming-of-age tale set in the mists of the distant past. But coming from writer-director Sally Potter, it's a major surprise.","A near-flawless film, beautifully shot and cut, excitingly performed and deeply felt.","Fanning is nearly perfect as Ginger navigates choppier waters than most teens have to. There is not a false note in her performance; no matter how melodramatic things become, everything about Ginger remains genuine.","Anchored by a brilliant performance from young Elle Fanning, who renders the usual teen angst and disillusionment as something both deeply felt and oddly mysterious. The kid is a natural.",Ginger and Rosa is a small flick that reminds audiences how exciting it is to see raw and sincere performances despite what kind of package they're delivered in
1397,Black Rock,1 hr. 19 min.,Katie Aselton,2013,Kate Bosworth,Lake Bell,Katie Aselton,Will Bouvier,Jay Paulson,Anslem Richardson,48,24,"'Black Rock' is never dull, but it's hardly the attention-grabbing calling card its creator presumably intended.","The writing tanks while the actors try to stay above water, but nobody leaves a trace on the radar.","This is a lean and mean variation on a familiar theme, tense throughout, with some terrific performances.",A tight-fisted little piece of gender-centric survival horror.,"Black Rock is a simplistic, predictable thriller that fails to become engaging thanks to idiotic characters and a by the numbers approach that has the audience two steps ahead of them."
1398,Night Across the Street,1 hr. 41 min.,Raoul Ruiz,2013,Christian Vadim,Sergio Hernández,Valentina Vargas,Chamila Rodriguez,Santiago Figueroa,Pedro Villagra,93,58,"Elegiac, witty and deeply reflective, ""Night Across the Street"" strikes a mature and complex tone.",It all has a sense of regret and almost relief. It haunts.,"Raúl Ruiz's elegiac, enigmatic and mischievous final film.","Unusually suffused with the contrast between experience and memory, reality and surreality.","These are the dreams of a man stepping out of this world, perhaps never more lucid and full of life."
1399,Assault On Wall Street,1 hr. 37 min.,Uwe Boll,2013,Dominic Purcell,Erin Karpluk,John Heard,Edward Furlong,Eric Roberts,Keith David,25,41,"The film seems inexplicably tame, the least interesting execution of a radical concept.","Boll spends so much time painting Jim into the corner required to ""justify"" his bonkers actions that once the film's fuse is irrevocably lighted, viewers may have already checked out.",This zeitgeist-tapping revenge fantasy doesn't deliver enough guilty pleasures.,"It's as subtle and as silly as you would expect, with an ending that's both a rally cry and request for a sequel.","Seemingly inspired by ""Taxi Driver"" with its security guard stand-in for Travis Bickle wasting Wall Street brokers who are arguably worse than the pimps in ""Taxi Driver""."
1400,Khyi rgan (Old Dog),1 hr. 28 min.,Pema Tseden,2011,Lochey,Drolma Kyab,Tamdrin Tso,Yanbum Gyal,Chickyong Gyal,Demchok Gyamtso,100,67,"Old Dog has the look and feel of a documentary, which adds senses of urgency and immediacy to a tale that moves at a languid, but never boring, pace.","While the rigid framing and wispy plot create an unfortunate inertia, they also magnify the occasional whimsical moment ...",It's both a sly piece of ethnography and a social satire that reads like a cosmic joke...right up until its climax makes the chuckle catch in your throat.,Stunning mixture of understated social criticism and minimalism a la Kurismaki.,"To the eye of the Occidental moviegoer, nothing much goes on. Underneath, however, roils a ""cultural genocide"" of generational, cultural, social and political upheaval."
1401,Cloudburst,1 hr. 33 min.,Thom Fitzgerald,2012,Olympia Dukakis,Brenda Fricker,John Dunsworth,Kristin Booth,Michael McPhee,Jeremy Ackerman,100,77,"It's a delight to see Olympia Dukakis and Brenda Fricker, superb talents and Oscar winners both, share almost every frame of Cloudburst.","An affectionate twist on a classic tale of lovers on the lam, sprinkled with renegade hints of Thelma & Louise, Cloudburst is a life- and heart-affirming journey.","The two actors...bring out the best in these two women in spite of the plot lapses and odd tonal shifts...you believe wholeheartedly that these two are deeply in love, and Dukakis and Fricker gift their characters with a real bond of intimacy.","A rough-edged Olympia Dukakis steals much of this comedy road movie about two ageing lesbians who go to Canada to get married. Enjoyable, but unremarkable.","In its peaceful moments, it's a gem, but the wild stabs at wacky comedy are usually groaners, a shame in a story that's so smart and savvy when it isn't showing off, being dense, or winding down to a painfully pat ending."
1402,Filly Brown,1 hr. 40 min.,Michael D. Olmos,2013,Gina Rodriguez,Jenni Rivera,Lou Diamond Phillips,Edward James Olmos,Emilio Rivera,Joseph Julian Soria,45,73,"A routine music business cautionary tale, the film shuffles its decks ever so slightly by casting a Latino actress as its lead, but doesn't do enough to shed the exasperating confines of the star-is-born genre.","More heartfelt, humanistic, and entertaining than such a clichéd showbiz cautionary tale has any right to be.","Almost despite our will, the cast keeps us invested in Filly's furious resurrection.","Unfortunately, the film is marred by a story, situations and stereotypical characters that strike all-too-familiar chords.","A trite piece of storytelling, with character development and plot points that feel not so much lived in as borrowed from other movies."
